id,similarity,label
420f2fd930251db10344c45adf75c3f38cb9d713,0.12156298558975008,The Tempo 2 Algorithm: Adjusting Time-Delays By Supervised Learning
4eb943bf999ce49e5ebb629d7d0ffee44becff94,0.07995490549333384,Finding Structure in Time
c61d139a2382760f560164e25e4be264de5dd59f,0.5311363762056016,"Learning Complex, Extended Sequences Using the Principle of History Compression"
f2b748b9ea96ab4f548d63653ae46ae17cea5a75,0.15782431206531344,Feedback-error-learning neural network for trajectory control of a robotic manipulator
81aa35a5ab4dcebff9d254cef64cbb6ee80a8756,0.08652879029896221,Neural nets for adaptive filtering and adaptive pattern recognition
cdbfb3714e19680dafb3711d525b481c08a1566f,0.2785034560044592,Generalization of Back propagation to Recurrent and Higher Order Neural Networks
2ea4a33a468958de14303daaaba2349d0ed07b73,0.1816535065262417,Deterministic Boltzmann Learning Performs Steepest Descent in Weight-Space
734906f1bb0eaa751d34919216c7a30649793f29,0.12314188556136862,Computing with Arrays of Coupled Oscillators: An Application to Preattentive Texture Discrimination
ea61d3d488522e63ef21add5cb62e0cb9a8d3fcc,0.0,A Mean Field Theory Learning Algorithm for Neural Networks
abd1d4b24d13b8a5bfbcab3db994a3f33f058709,0.1393816242153944,Statistical Mechanics of Temporal Association in Neural Networks
2e3e09e48a7a62dc30efd8ef7fc4665a53e84d7a,0.10019765165195632,A Learning Algorithm for Boltzmann Machines
fd1e0301c8d276aaa062710b4966e3913465ceb3,0.08148520641296984,Terminal attractors in neural networks
00e6b6ea28c0217d7c7e90824c17b37528f69104,0.08520191034617777,Absolute stability of global pattern formation and parallel memory storage by competitive neural networks
8adb8257a423f55b1f20ba62c8b20118d76a25c7,0.11780670858920443,A learning algorithm for continually running fully recurrent neural networks
af7802a50a8c294ebfd539ad72158475e5ecd9f2,0.09823381364868414,"The ""Moving Targets"" Training Algorithm"
02edd775274032afa9fd0420386d38ba3a58c18a,0.09850991505973876,Learning state space trajectories in recurrent neural networks
779b6db80728786392fff652d968c4a87ea68de0,0.06638033010063238,Implications of Recursive Distributed Representations
4eb943bf999ce49e5ebb629d7d0ffee44becff94,0.10126334711202756,Finding Structure in Time
25c19c8c1d6778a16f8b27beac4d9c6a55357580,0.0,Higher Order Recurrent Networks and Grammatical Inference
07ff62cd1432440eae1778810c1f29536fcbbc94,0.1489005683927579,Learning Unambiguous Reduced Sequence Descriptions
8adb8257a423f55b1f20ba62c8b20118d76a25c7,0.1509386613313164,A learning algorithm for continually running fully recurrent neural networks
e141d68065ce638f9fc4f006eab2f66711e89768,0.0836134520093812,Induction of Multiscale Temporal Structure
4eb943bf999ce49e5ebb629d7d0ffee44becff94,0.08537769213726057,Finding Structure in Time
8e0255de95f7320e2343a7f6576ebddaf144dc9f,0.030636643226811002,Incremental Development of Complex Behaviors
2f337a8f9942a9f3d58525503b782400715537de,0.1117636759516248,Extracting and Learning an Unknown Grammar with Recurrent Neural Networks
